order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
49,3,rust-same,b4,0.3041396250046091,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
50,3,helper,share-b1,0.6529203329992015,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
51,3,koka,b4,0.5698665419986355,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
52,3,rust-same,b2,0.2573014170047827,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
53,3,helper,b4,0.30643037499976344,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
54,3,koka,b1,0.14076233399828197,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
55,3,helper,b2,0.29391779199795565,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
56,3,koka,share-b1,0.5224316250023548,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
57,4,koka,b2,0.21167933299875585,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
58,4,koka,b4,0.5672361250035465,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
59,4,rust-same,b4,0.3044421250015148,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
60,4,koka,b3,0.13747850000072503,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
61,4,rust-same,b3,0.13053587499598507,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
62,4,rust-same,b2,0.2651670409977669,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
63,4,helper,b1,0.17265116600174224,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
64,4,helper,b3,0.15636291700502625,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
65,4,rust-same,b1,0.1626984589966014,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
66,4,helper,b2,0.29186208399914904,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
67,4,koka,share-b1,0.5103474580027978,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
68,4,helper,b4,0.306289125001058,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
69,4,helper,share-b1,0.6459076250030193,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
70,4,koka,b1,0.13647533299808856,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
71,5,koka,b3,0.13812008300010348,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
72,5,rust-same,b4,0.30384241700085113,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
73,5,helper,b4,0.30648199999995995,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
74,5,helper,share-b1,0.6380754580022767,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
75,5,rust-same,b1,0.16291225000168197,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
76,5,rust-same,b2,0.2590182089988957,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
77,5,koka,b1,0.13657670799875632,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
78,5,helper,b2,0.2854030000016792,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
79,5,helper,b3,0.1560461250046501,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
80,5,koka,b4,0.5699442909972277,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
81,5,koka,share-b1,0.5126458330050809,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
82,5,helper,b1,0.16943075000017416,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
83,5,rust-same,b3,0.13049841699830722,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
84,5,koka,b2,0.22910133400000632,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
85,6,helper,b2,0.2866230420040665,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
86,6,helper,share-b1,0.6598309170003631,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
87,6,helper,b4,0.30632958299975144,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
88,6,helper,b1,0.16868512499786448,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
89,6,koka,share-b1,0.513347291998798,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
90,6,rust-same,b1,0.16758791699976427,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
91,6,rust-same,b3,0.1340037920017494,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
92,6,koka,b2,0.2431845000028261,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
93,6,helper,b3,0.16044420799880754,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
94,6,koka,b4,0.5717900840027141,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
95,6,koka,b1,0.13841074999800185,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
96,6,rust-same,b4,0.3043137080021552,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
97,6,koka,b3,0.13771074999385746,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
98,6,rust-same,b2,0.25758054200559855,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
99,7,rust-same,b4,0.3045067499988363,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
100,7,koka,share-b1,0.5098297920048935,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
101,7,rust-same,b2,0.2583327080064919,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
102,7,rust-same,b3,0.12984212500305148,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
103,7,helper,b2,0.29501712499768473,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
104,7,helper,share-b1,0.6507049159990856,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
105,7,helper,b3,0.156480042001931,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
106,7,koka,b2,0.21129054199991515,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
107,7,helper,b4,0.3066424169956008,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
108,7,helper,b1,0.1710412910033483,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
109,7,rust-same,b1,0.16264979200059315,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
110,7,koka,b1,0.13675370899727568,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
111,7,koka,b3,0.1376712920027785,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
112,7,koka,b4,0.5637731249953504,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
113,8,koka,b1,0.13716937500430504,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
114,8,helper,share-b1,0.6427342910028528,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
115,8,helper,b1,0.17168737500469433,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
116,8,koka,b3,0.13826516699919011,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
