order,round,version,benchmark,seconds,output_ok,output
61,2,koka-keep,b3,0.144024,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
62,2,koka-box,b2,0.215799,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
63,2,rust-same-mimalloc,b2,0.267873,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
64,2,rust-same-std,b2,0.279422,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
65,3,koka-helper,b4,0.546184,True,first 37 | last 554962791 | sum-mod 491625299
66,3,koka,b1,0.137529,True,sum 500100500000 | first 101 | last 1000100
67,3,koka,b3,0.138604,True,first 1000000 | last 1 | weighted 166667166667000000
68,3,rust-best-mimalloc,b2,0.084469,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
69,3,rust-same-std,b3,0.127037,True,first 1000000 | last 1 | weighted 166667166667000000
70,3,rust-same-std,b4,0.311743,True,first 37 | last 554962791 | sum-mod 491625299
71,3,koka-keep,b3,0.143122,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
72,3,rust-same-std,b2,0.303033,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
73,3,rust-best-std,b1,0.016079,True,sum 500100500000 | first 101 | last 1000100
74,3,koka,b2,0.227716,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
75,3,koka-keep,b1,0.141876,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
76,3,koka-box,b1,0.13767,True,sum 500100500000 | first 101 | last 1000100
77,3,rust-best-mimalloc,b1,0.016803,True,sum 500100500000 | first 101 | last 1000100
78,3,koka-box,b4,0.543537,True,first 37 | last 554962791 | sum-mod 491625299
79,3,rust-best-std,b2,0.085728,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
80,3,rust-same-mimalloc,b3,0.134046,True,first 1000000 | last 1 | weighted 166667166667000000
81,3,koka-box,b3,0.141679,True,first 1000000 | last 1 | weighted 166667166667000000
82,3,rust-same-std,b1,0.175694,True,sum 500100500000 | first 101 | last 1000100
83,3,rust-best-std,b3,0.017686,True,first 1000000 | last 1 | weighted 166667166667000000
84,3,koka-helper,b1,0.141362,True,sum 500100500000 | first 101 | last 1000100
85,3,rust-same-mimalloc,b2,0.274395,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
86,3,rust-best-std,b4,0.297988,True,first 37 | last 554962791 | sum-mod 491625299
87,3,rust-best-mimalloc,b4,0.285729,True,first 37 | last 554962791 | sum-mod 491625299
88,3,koka-keep,b2,0.213038,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
89,3,rust-same-mimalloc,b1,0.163253,True,sum 500100500000 | first 101 | last 1000100
90,3,koka-box,b2,0.212109,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
91,3,koka,b4,0.554496,True,first 37 | last 554962791 | sum-mod 491625299
92,3,koka-helper,b2,0.212792,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
93,3,koka-helper,b3,0.138488,True,first 1000000 | last 1 | weighted 166667166667000000
94,3,koka-keep,b4,0.574068,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
95,3,rust-best-mimalloc,b3,0.016637,True,first 1000000 | last 1 | weighted 166667166667000000
96,3,rust-same-mimalloc,b4,0.303191,True,first 37 | last 554962791 | sum-mod 491625299
97,4,rust-same-std,b3,0.067586,True,first 1000000 | last 1 | weighted 166667166667000000
98,4,koka-keep,b4,0.567425,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
99,4,koka-box,b3,0.137714,True,first 1000000 | last 1 | weighted 166667166667000000
100,4,rust-best-mimalloc,b4,0.292932,True,first 37 | last 554962791 | sum-mod 491625299
101,4,koka-helper,b4,0.555864,True,first 37 | last 554962791 | sum-mod 491625299
102,4,koka-keep,b3,0.143683,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
103,4,koka,b1,0.137245,True,sum 500100500000 | first 101 | last 1000100
104,4,rust-best-mimalloc,b3,0.016765,True,first 1000000 | last 1 | weighted 166667166667000000
105,4,rust-best-std,b2,0.085322,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
106,4,koka,b4,0.550858,True,first 37 | last 554962791 | sum-mod 491625299
107,4,rust-same-mimalloc,b1,0.163011,True,sum 500100500000 | first 101 | last 1000100
108,4,koka,b3,0.138282,True,first 1000000 | last 1 | weighted 166667166667000000
109,4,koka,b2,0.212622,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
110,4,koka-keep,b2,0.209545,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
111,4,rust-same-mimalloc,b3,0.131108,True,first 1000000 | last 1 | weighted 166667166667000000
112,4,rust-same-std,b2,0.278394,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
113,4,koka-helper,b1,0.138072,True,sum 500100500000 | first 101 | last 1000100
114,4,rust-best-std,b4,0.295812,True,first 37 | last 554962791 | sum-mod 491625299
115,4,rust-same-std,b4,0.310894,True,first 37 | last 554962791 | sum-mod 491625299
116,4,koka-helper,b2,0.214175,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
117,4,koka-box,b1,0.137609,True,sum 500100500000 | first 101 | last 1000100
118,4,rust-same-mimalloc,b4,0.2997,True,first 37 | last 554962791 | sum-mod 491625299
119,4,rust-best-mimalloc,b2,0.083956,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
120,4,rust-same-mimalloc,b2,0.260248,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
121,4,rust-same-std,b1,0.171729,True,sum 500100500000 | first 101 | last 1000100
122,4,koka-box,b2,0.213324,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
123,4,rust-best-std,b3,0.016697,True,first 1000000 | last 1 | weighted 166667166667000000
124,4,rust-best-mimalloc,b1,0.015796,True,sum 500100500000 | first 101 | last 1000100
125,4,koka-helper,b3,0.138266,True,first 1000000 | last 1 | weighted 166667166667000000
126,4,rust-best-std,b1,0.015983,True,sum 500100500000 | first 101 | last 1000100
127,4,koka-box,b4,0.543961,True,first 37 | last 554962791 | sum-mod 491625299
128,4,koka-keep,b1,0.142222,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
129,5,rust-same-mimalloc,b3,0.129825,True,first 1000000 | last 1 | weighted 166667166667000000
130,5,koka-helper,b2,0.213163,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
131,5,koka-box,b4,0.583439,True,first 37 | last 554962791 | sum-mod 491625299
132,5,rust-same-std,b3,0.067782,True,first 1000000 | last 1 | weighted 166667166667000000
133,5,koka,b4,0.567741,True,first 37 | last 554962791 | sum-mod 491625299
134,5,koka-helper,b4,0.544075,True,first 37 | last 554962791 | sum-mod 491625299
135,5,rust-best-std,b4,0.281904,True,first 37 | last 554962791 | sum-mod 491625299
136,5,rust-best-mimalloc,b3,0.016777,True,first 1000000 | last 1 | weighted 166667166667000000
137,5,koka-keep,b4,0.547742,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
138,5,koka-helper,b1,0.138074,True,sum 500100500000 | first 101 | last 1000100
139,5,rust-best-mimalloc,b2,0.084843,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
140,5,rust-same-std,b1,0.171317,True,sum 500100500000 | first 101 | last 1000100
141,5,rust-best-std,b2,0.085439,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
142,5,rust-same-mimalloc,b2,0.262204,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
143,5,koka,b3,0.138661,True,first 1000000 | last 1 | weighted 166667166667000000
144,5,rust-best-std,b1,0.016397,True,sum 500100500000 | first 101 | last 1000100
145,5,koka-helper,b3,0.138207,True,first 1000000 | last 1 | weighted 166667166667000000
146,5,rust-same-std,b4,0.31383,True,first 37 | last 554962791 | sum-mod 491625299
147,5,rust-best-mimalloc,b1,0.016104,True,sum 500100500000 | first 101 | last 1000100
148,5,rust-same-mimalloc,b4,0.304302,True,first 37 | last 554962791 | sum-mod 491625299
149,5,koka-keep,b2,0.209654,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
150,5,rust-same-std,b2,0.282049,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
151,5,rust-best-mimalloc,b4,0.292498,True,first 37 | last 554962791 | sum-mod 491625299
152,5,koka,b2,0.213724,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
153,5,rust-same-mimalloc,b1,0.16468,True,sum 500100500000 | first 101 | last 1000100
154,5,rust-best-std,b3,0.016416,True,first 1000000 | last 1 | weighted 166667166667000000
155,5,koka-box,b3,0.137332,True,first 1000000 | last 1 | weighted 166667166667000000
156,5,koka-box,b1,0.138683,True,sum 500100500000 | first 101 | last 1000100
157,5,koka-keep,b1,0.142636,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
158,5,koka-keep,b3,0.143888,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
159,5,koka,b1,0.137891,True,sum 500100500000 | first 101 | last 1000100
160,5,koka-box,b2,0.209804,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
161,6,koka-helper,b4,0.573578,True,first 37 | last 554962791 | sum-mod 491625299
162,6,koka-box,b4,0.563978,True,first 37 | last 554962791 | sum-mod 491625299
163,6,koka-box,b2,0.213506,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
164,6,koka,b4,0.549218,True,first 37 | last 554962791 | sum-mod 491625299
165,6,koka-box,b1,0.138237,True,sum 500100500000 | first 101 | last 1000100
166,6,koka-helper,b3,0.138217,True,first 1000000 | last 1 | weighted 166667166667000000
167,6,rust-same-std,b4,0.314012,True,first 37 | last 554962791 | sum-mod 491625299
168,6,rust-best-mimalloc,b3,0.017808,True,first 1000000 | last 1 | weighted 166667166667000000
169,6,rust-same-mimalloc,b1,0.165835,True,sum 500100500000 | first 101 | last 1000100
170,6,rust-best-std,b4,0.287083,True,first 37 | last 554962791 | sum-mod 491625299
171,6,koka-keep,b4,0.552542,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
172,6,rust-same-mimalloc,b4,0.301337,True,first 37 | last 554962791 | sum-mod 491625299
