order,round,version,benchmark,seconds,output_ok,output
295,10,koka-box,b3,0.13834,True,first 1000000 | last 1 | weighted 166667166667000000
296,10,rust-same-std,b1,0.171297,True,sum 500100500000 | first 101 | last 1000100
297,10,koka-keep,b2,0.207725,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
298,10,rust-same-std,b3,0.06586,True,first 1000000 | last 1 | weighted 166667166667000000
299,10,koka,b4,0.5404,True,first 37 | last 554962791 | sum-mod 491625299
300,10,rust-best-std,b3,0.016659,True,first 1000000 | last 1 | weighted 166667166667000000
301,10,rust-same-mimalloc,b1,0.162534,True,sum 500100500000 | first 101 | last 1000100
302,10,koka-box,b1,0.137871,True,sum 500100500000 | first 101 | last 1000100
303,10,koka-box,b2,0.214745,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
304,10,rust-best-mimalloc,b1,0.01632,True,sum 500100500000 | first 101 | last 1000100
305,10,rust-same-mimalloc,b2,0.2594,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
306,10,rust-same-std,b4,0.31358,True,first 37 | last 554962791 | sum-mod 491625299
307,10,koka-helper,b3,0.138042,True,first 1000000 | last 1 | weighted 166667166667000000
308,10,rust-best-std,b2,0.088095,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
309,10,koka-keep,b1,0.142235,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
310,10,koka-box,b4,0.568884,True,first 37 | last 554962791 | sum-mod 491625299
311,10,koka,b2,0.213961,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
312,10,rust-same-std,b2,0.281372,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
313,10,rust-best-mimalloc,b2,0.084103,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
314,10,koka-keep,b3,0.143884,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
315,10,rust-best-mimalloc,b4,0.292213,True,first 37 | last 554962791 | sum-mod 491625299
316,10,rust-best-std,b1,0.015891,True,sum 500100500000 | first 101 | last 1000100
317,10,koka,b1,0.136557,True,sum 500100500000 | first 101 | last 1000100
318,10,rust-best-std,b4,0.294111,True,first 37 | last 554962791 | sum-mod 491625299
319,10,rust-best-mimalloc,b3,0.016499,True,first 1000000 | last 1 | weighted 166667166667000000
320,10,rust-same-mimalloc,b3,0.129762,True,first 1000000 | last 1 | weighted 166667166667000000
