order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
49,3,rust-same,b4,0.3038647499997751,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
50,3,helper,b4,0.3070905409986153,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
51,3,koka,b1,0.13723470799595816,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
52,3,koka,b2,0.2111149580014171,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
53,3,rust-same,b1,0.16273495800123783,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
54,3,koka,share-b1,0.5102155409986153,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
55,3,helper,b2,0.28707866599870613,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
56,3,helper,b1,0.1695080829958897,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
57,4,koka,share-b1,0.5098287910004728,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
58,4,koka,b1,0.13731266599643277,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
59,4,rust-same,b4,0.30384379199676914,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
60,4,helper,b2,0.2844085830001859,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
61,4,helper,share-b1,0.6518991250050021,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
62,4,koka,b3,0.140418208000483,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
63,4,rust-same,b2,0.2701252499973634,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
64,4,helper,b3,0.1594450839984347,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
65,4,helper,b1,0.17571479199978057,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
66,4,koka,b2,0.21720045800611842,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
67,4,rust-same,b3,0.1307453749977867,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
68,4,helper,b4,0.3060287080006674,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
69,4,koka,b4,0.569396416998643,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
